figure_id,pdf_page,status,match_score,second_best_score,page_image,adversarial_image,message,,,
fig_001,1,ok,0.878896,,D:\Research\Final Stretch\SciFig-Evaluation-main\SciFig-Evaluation-main\adversarial_experiments\blur_figure_in_page\generated\fig_001_page.png,D:\Research\Final Stretch\SciFig-Evaluation-main\SciFig-Evaluation-main\adversarial_experiments\blur_figure_in_page\generated\fig_001_page_adverserial.png,template,,,
fig_003,6,ok,0.879053,,D:\Research\Final Stretch\SciFig-Evaluation-main\SciFig-Evaluation-main\adversarial_experiments\blur_figure_in_page\generated\fig_003_page.png,D:\Research\Final Stretch\SciFig-Evaluation-main\SciFig-Evaluation-main\adversarial_experiments\blur_figure_in_page\generated\fig_003_page_adverserial.png,template,,,
fig_004,7,ok,0.882123,,D:\Research\Final Stretch\SciFig-Evaluation-main\SciFig-Evaluation-main\adversarial_experiments\blur_figure_in_page\generated\fig_004_page.png,D:\Research\Final Stretch\SciFig-Evaluation-main\SciFig-Evaluation-main\adversarial_experiments\blur_figure_in_page\generated\fig_004_page_adverserial.png,template,,,
fig_005,7,manual,0.542943,,D:\Research\Final Stretch\SciFig-Evaluation-main\SciFig-Evaluation-main\adversarial_experiments\blur_figure_in_page\generated\fig_005_page.png,,below_threshold,,,
fig_006,7,ok,0.944132,,D:\Research\Final Stretch\SciFig-Evaluation-main\SciFig-Evaluation-main\adversarial_experiments\blur_figure_in_page\generated\fig_006_page.png,D:\Research\Final Stretch\SciFig-Evaluation-main\SciFig-Evaluation-main\adversarial_experiments\blur_figure_in_page\generated\fig_006_page_adverserial.png,template,,,
fig_007,9,ok,0.861364,0.3198,D:\Research\Final Stretch\SciFig-Evaluation-main\SciFig-Evaluation-main\adversarial_experiments\blur_figure_in_page\generated\fig_007_page.png,D:\Research\Final Stretch\SciFig-Evaluation-main\SciFig-Evaluation-main\adversarial_experiments\blur_figure_in_page\generated\fig_007_page_adverserial.png,template,,,
fig_008,17,ok,0.913389,,D:\Research\Final Stretch\SciFig-Evaluation-main\SciFig-Evaluation-main\adversarial_experiments\blur_figure_in_page\generated\fig_008_page.png,D:\Research\Final Stretch\SciFig-Evaluation-main\SciFig-Evaluation-main\adversarial_experiments\blur_figure_in_page\generated\fig_008_page_adverserial.png,template,,,
fig_009,25,ok,0.872222,,D:\Research\Final Stretch\SciFig-Evaluation-main\SciFig-Evaluation-main\adversarial_experiments\blur_figure_in_page\generated\fig_009_page.png,D:\Research\Final Stretch\SciFig-Evaluation-main\SciFig-Evaluation-main\adversarial_experiments\blur_figure_in_page\generated\fig_009_page_adverserial.png,template,,,
fig_010,4,ok,0.742752,0.434191,D:\Research\Final Stretch\SciFig-Evaluation-main\SciFig-Evaluation-main\adversarial_experiments\blur_figure_in_page\generated\fig_010_page.png,D:\Research\Final Stretch\SciFig-Evaluation-main\SciFig-Evaluation-main\adversarial_experiments\blur_figure_in_page\generated\fig_010_page_adverserial.png,embedded,,,
fig_011,8,ok,0.930844,,D:\Research\Final Stretch\SciFig-Evaluation-main\SciFig-Evaluation-main\adversarial_experiments\blur_figure_in_page\generated\fig_011_page.png,D:\Research\Final Stretch\SciFig-Evaluation-main\SciFig-Evaluation-main\adversarial_experiments\blur_figure_in_page\generated\fig_011_page_adverserial.png,template,,,
fig_012,4,ok,0.950831,0.022521,D:\Research\Final Stretch\SciFig-Evaluation-main\SciFig-Evaluation-main\adversarial_experiments\blur_figure_in_page\generated\fig_012_page.png,D:\Research\Final Stretch\SciFig-Evaluation-main\SciFig-Evaluation-main\adversarial_experiments\blur_figure_in_page\generated\fig_012_page_adverserial.png,template,,,
